role_head,global_aliases,current_ro_aliases,current_hu_aliases,missing_locales,ro_aliases_to_add,hu_aliases_to_add,global_aliases_to_move_ro,global_aliases_to_move_hu,global_aliases_to_keep,translator_note,note
hostess,háziasszony,,,ro;hu,,háziasszony,,háziasszony,,ro: translation failed after 3 attempts: hostess --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: hostess --> No translation was found using the current translator. Try another translator?,
inspector,ellenőr; inspektor,,,ro;hu,,ellenőr,,ellenőr,inspektor,ro: translation failed after 3 attempts: inspector --> No translation was found using the current translator. Try another translator?,
installer,instalator,,,ro;hu,instalator,telepítő,instalator,,instalator,,
instructor,oktató; instruktor,,,ro;hu,,oktató,,oktató,instruktor,ro: translation same as role_head,
interpreter,interpret; tolmács; tõlk,,,ro;hu,interpret,tolmács,interpret,tolmács,interpret; tõlk,hu: translation failed after 3 attempts: interpreter --> No translation was found using the current translator. Try another translator?,
investigator,nyomozó; uurija,,,ro;hu,anchetator,nyomozó,,nyomozó,uurija,hu: translation failed after 3 attempts: investigator --> No translation was found using the current translator. Try another translator?,
journalist,jurnalist; újságíró; ajakirjanik,,,ro;hu,,újságíró,,újságíró,jurnalist; ajakirjanik,ro: translation failed after 3 attempts: journalist --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: journalist --> No translation was found using the current translator. Try another translator?,
labourer,laborer,,,ro;hu,,,,,laborer,ro: translation failed after 3 attempts: labourer --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: labourer --> No translation was found using the current translator. Try another translator?,
leader,,,,ro;hu,,,,,,ro: translation failed after 3 attempts: leader --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: leader --> No translation was found using the current translator. Try another translator?,
lecturer,lector; előadó; lektor,,,ro;hu,,előadó,,előadó,lector; lektor,ro: translation failed after 3 attempts: lecturer --> No translation was found using the current translator. Try another translator?,
machinist,mașinist; gépész,,,ro;hu,mașinist,gépész,mașinist,gépész,,,
maker,fabricator; készítő; valmistaja,,,ro;hu,făcător,készítő,,készítő,fabricator; valmistaja,,
manager,menedzser; mänedžer,,,ro;hu,,menedzser,,menedzser,menedzser; mänedžer,ro: translation same as role_head,
master,maistru; mester; meister,,,ro;hu,maestru,fő-,,,maistru; mester; meister,,
mechanic,mecanic; mehaanik,,,ro;hu,mecanic,szerelő,mecanic,,mecanic; mehaanik,,
merchant,kaupmees,,,ro;hu,comerciant,kereskedő,,,kaupmees,,
metallurgist,metalurgist; kohász; metallurg,,,ro;hu,metalurgist,kohász; fémkohász,metalurgist,kohász,metalurgist; metallurg,,
minder,supraveghetor; vigyázó,,,ro;hu,,vigyázó,,vigyázó,supraveghetor,ro: translation failed after 3 attempts: minder --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: minder --> No translation was found using the current translator. Try another translator?,
mixer,keverő; segaja,,,ro;hu,,keverő,,keverő,segaja,ro: translation same as role_head; hu: translation failed after 3 attempts: mixer --> No translation was found using the current translator. Try another translator?,
modeller,modeler; modelator; modellező; modelleerija,,,ro;hu,,modellező,,modellező,modeler; modelator; modelleerija,ro: translation failed after 3 attempts: modeller --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: modeller --> No translation was found using the current translator. Try another translator?,
monk,călugăr; szerzetes; munk,,,ro;hu,călugăr,,călugăr,,szerzetes; munk,ro: translation failed after 3 attempts: monk --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: monk --> No translation was found using the current translator. Try another translator?,
moulder,formator; formázó; vormija,,,ro;hu,,formázó,,formázó,formator; vormija,ro: translation failed after 3 attempts: moulder --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: moulder --> No translation was found using the current translator. Try another translator?,
nun,călugăriță; apáca; nunn,,,ro;hu,călugăriță,apáca,călugăriță,apáca,nunn,,
nutritionist,toitumisnõustaja,,,ro;hu,,,,,toitumisnõustaja,ro: translation failed after 3 attempts: nutritionist --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: nutritionist --> No translation was found using the current translator. Try another translator?,
officer,ofițer; tiszt; ohvitser,,,ro;hu,ofițer,,ofițer,,tiszt; ohvitser,ro: translation failed after 3 attempts: officer --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: officer --> No translation was found using the current translator. Try another translator?,
operative,,,,ro;hu,,,,,,ro: translation failed after 3 attempts: operative --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: operative --> No translation was found using the current translator. Try another translator?,
operator,operaator,,,ro;hu,,,,,operaator,ro: translation failed after 3 attempts: operator --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: operator --> No translation was found using the current translator. Try another translator?,
painter,vopsitor; pictor; festő; maalija,,,ro;hu,,festő,,festő,vopsitor; pictor; maalija,ro: translation failed after 3 attempts: painter --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: painter --> No translation was found using the current translator. Try another translator?,
patternmaker,șablonist; mintakészítő; mustrimeister,,,ro;hu,șablonist,mintakészítő,șablonist,mintakészítő,mustrimeister,,
pharmacist,gyógyszerész; farmacist; proviisor,,,ro;hu,,gyógyszerész,,gyógyszerész,farmacist; proviisor,ro: translation failed after 3 attempts: pharmacist --> No translation was found using the current translator. Try another translator?,
philosopher,filozof; filozófus; filosoof,,,ro;hu,,filozófus,,filozófus,filozof; filosoof,ro: translation failed after 3 attempts: philosopher --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: philosopher --> No translation was found using the current translator. Try another translator?,
physiotherapist,fizioterapeut; gyógytornász; füsioterapeut,,,ro;hu,,gyógytornász; füsioterapeut,,gyógytornász; füsioterapeut,fizioterapeut,ro: translation failed after 3 attempts: physiotherapist --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: physiotherapist --> No translation was found using the current translator. Try another translator?,
pilot,pilóta; piloot; co-pilot,,,ro;hu,,pilóta,,pilóta,piloot; co-pilot,ro: translation failed after 3 attempts: pilot --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: pilot --> No translation was found using the current translator. Try another translator?,
planner,planificator; planeerija,,,ro;hu,,,,,planificator; planeerija,ro: translation failed after 3 attempts: planner --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: planner --> No translation was found using the current translator. Try another translator?,
polisher,lustruitor; poleerija,,,ro;hu,,,,,lustruitor; poleerija,ro: translation failed after 3 attempts: polisher --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: polisher --> No translation was found using the current translator. Try another translator?,
practitioner,practician; praktiseerija; praktik,,,ro;hu,,,,,practician; praktiseerija; praktik,ro: translation failed after 3 attempts: practitioner --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: practitioner --> No translation was found using the current translator. Try another translator?,
printer,tipograf; nyomdász; trükkija,,,ro;hu,,nyomdász; trükkija,,nyomdász; trükkija,tipograf,ro: translation failed after 3 attempts: printer --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: printer --> No translation was found using the current translator. Try another translator?,
producer,producător; tootja,,,ro;hu,producător,,producător,,tootja,ro: translation failed after 3 attempts: producer --> No translation was found using the current translator. Try another translator?; hu: translation failed after 3 attempts: producer --> No translation was found using the current translator. Try another translator?,
programmer,programator; programozó; programmeerija,,,ro;hu,,programozó,,programozó,programator; programmeerija,,
psychologist,pszichológus; psühholoog,,,ro;hu,,pszichológus; psühholoog,,pszichológus; psühholoog,,,
radiographer,radiograf; radiograaf; röntgenfelvételkészítő,,,ro;hu,,röntgenfelvételkészítő,,röntgenfelvételkészítő,radiograf; radiograaf,,
registrar,registrator; anyakönyvvezető,,,ro;hu,,anyakönyvvezető,,anyakönyvvezető,registrator,,
repairer,vulcanizator; remondimees,,,ro;hu,,,,,vulcanizator; remondimees,,
representative,reprezentant; esindaja; képviselő,,,ro;hu,,képviselő,,képviselő,reprezentant; esindaja,,
researcher,cercetator; kutató,,,ro;hu,,kutató,,kutató,cercetator,,
restorer,restaurator; restauraator,,,ro;hu,,,,,restaurator; restauraator,,
rigger,kötélzetkezelő,,,ro;hu,,kötélzetkezelő,,kötélzetkezelő,,,
roaster,prăjitor; pörkölő; röstija,,,ro;hu,prăjitor,pörkölő; röstija,prăjitor,pörkölő; röstija,,,
scientist,tudós,,,ro;hu,,tudós,,tudós,,,
secretary,secretar; titkár; sekretär,,,ro;hu,,titkár,,titkár,secretar; sekretär,,
seller,vanzator; vanzatoare; eladó; salesperson,,,ro;hu,,eladó,,eladó,vanzator; vanzatoare; salesperson,,
smith,fierar; kovács,,,ro;hu,,kovács,,kovács,fierar,,
sommelier,somelier; sommeljee,,,ro;hu,,,,,somelier; sommeljee,,
specialist,spetsialist; szakember,,,ro;hu,,,,,spetsialist; szakember,,
steward,stjuuard,,,ro;hu,,,,,stjuuard,,
stewardess,stewardesă; stjuardess,,,ro;hu,stewardesă,,stewardesă,,stjuardess,,
stand-in,,,,ro;hu,,,,,,,
supervisor,responsabil,,,ro;hu,,,,,responsabil,,
surveyor,topograf; földmérő; maamõõtja,,,ro;hu,,földmérő,,földmérő,topograf; maamõõtja,,
teacher,profesor,,,ro;hu,,,,,profesor,,
technician,tehnician; technikus; tehnik; frigotehnist,,,ro;hu,,,,,tehnician; technikus; tehnik; frigotehnist,,
technologist,tehnolog; technológus; tehnoloog,,,ro;hu,,technológus,,technológus,tehnolog; tehnoloog,,
tender,gondozó,,,ro;hu,,gondozó,,gondozó,,,
tester,tesztelő; testija,,,ro;hu,,tesztelő,,tesztelő,testija,,
therapist,terapeut; terapeuta,,,ro;hu,,,,,terapeut; terapeuta,,
trader,kaupleja,,,ro;hu,,,,,kaupleja,,
trainer,,,,ro;hu,,,,,,,
translator,traducator; fordító; tõlkija,,,ro;hu,,fordító,,fordító,traducator; tõlkija,,
underwriter,,,,ro;hu,,,,,,,
upholsterer,tapițer; kárpitos,,,ro;hu,tapițer,kárpitos,tapițer,kárpitos,,,
vendor,árus,,,ro;hu,,árus,,árus,,,
veterinarian,állatorvos; loomaarst,,,ro;hu,,állatorvos,,állatorvos,loomaarst,,
waiter,ospatar; pincér; kelner,,,ro;hu,,pincér,,pincér,ospatar; kelner,,
welder,sudor; hegesztő; keevitaja,,,ro;hu,,hegesztő,,hegesztő,sudor; keevitaja,,
worker,lucrator; muncitor; magaziner,,,ro;hu,,,,,lucrator; muncitor; magaziner,,
writer,scriitor; író; kirjanik; author,,,ro;hu,,író,,író,scriitor; kirjanik; author,,
aesthetician,beautician; estetician; kozmetikus,,,ro;hu,,,,,beautician; estetician; kozmetikus,,
agronomist,agronom; agronómus; agronoom,,,ro;hu,,agronómus,,agronómus,agronom; agronoom,,
ambassador,ambasador; nagykövet; suursaadik,,,ro;hu,,nagykövet,,nagykövet,ambasador; suursaadik,,
annealer,recoacător,,,ro;hu,recoacător,,recoacător,,,,
anthropologist,antropolog; antropológus; antropoloog,,,ro;hu,,antropológus,,antropológus,antropolog; antropoloog,,
arboriculturist,arboricultor; puukasvataja,,,ro;hu,,,,,arboricultor; puukasvataja,,
archaeologist,arheolog; régész; arheoloog,,,ro;hu,,régész,,régész,arheolog; arheoloog,,
archivist,arhivist; levéltáros; arhivaar,,,ro;hu,,levéltáros,,levéltáros,arhivist; arhivaar,,
aromatherapist,aromaterapeut; aromaterapeuta; aroomiterapeut,,,ro;hu,,,,,aromaterapeut; aromaterapeuta; aroomiterapeut,,
arranger,aranjor; arranžeerija,,,ro;hu,,,,,aranjor; arranžeerija,,
assayer,fémvizsgáló,,,ro;hu,,fémvizsgáló,,fémvizsgáló,,,
assessor,evaluator; hindaja,,,ro;hu,,,,,evaluator; hindaja,,
astrologer,astrolog; asztrológus; astroloog,,,ro;hu,,asztrológus,,asztrológus,astrolog; astroloog,,
astronomer,astronom; csillagász; astronoom,,,ro;hu,,csillagász,,csillagász,astronom; astronoom,,
auctioneer,licitator; árverésvezető; oksjonipidaja,,,ro;hu,,árverésvezető,,árverésvezető,licitator; oksjonipidaja,,
audiologist,audiolog; audiológus; audioloog,,,ro;hu,,audiológus,,audiológus,audiolog; audioloog,,
babysitter,bébiszitter; bonă,,,ro;hu,bonă,bébiszitter,bonă,bébiszitter,,,
baker,brutar; pék; pagar,,,ro;hu,,pék,,pék,brutar; pagar,,
banker,bancher; bankár; pankur,,,ro;hu,,bankár,,bankár,bancher; pankur,,
barber,bărbier; borbély; habemees,,,ro;hu,bărbier,borbély,bărbier,borbély,habemees,,
bartender,barman; csapos; baarmen,,,ro;hu,,,,,barman; csapos; baarmen,,
basketmaker,kosárfonó; korvipunuja,,,ro;hu,,kosárfonó,,kosárfonó,korvipunuja,,
behaviourist,behaviorist; viselkedéskutató; käitumisteadlane,,,ro;hu,,viselkedéskutató,,viselkedéskutató,behaviorist; käitumisteadlane,,
biochemist,biochimist; biokémikus; biokeemik,,,ro;hu,,biokémikus,,biokémikus,biochimist; biokeemik,,
bioengineer,bioinginer; biomérnök; bioinsener,,,ro;hu,,biomérnök,,biomérnök,bioinginer; bioinsener,,
biometrician,biometrist; biometrikus; biomeetrik,,,ro;hu,,,,,biometrist; biometrikus; biomeetrik,,
biophysicist,biofizician; biofizikus; biofüüsik,,,ro;hu,,biofüüsik,,biofüüsik,biofizician; biofizikus,,
blogger,blogija,,,ro;hu,,,,,blogija,,
boatman,luntraș; hajós; paadimees,,,ro;hu,luntraș,hajós,luntraș,hajós,paadimees,,
boatmaster,laevakapten,,,ro;hu,,,,,laevakapten,,
boilermaker,cazanar; kazánkovács; katelsepp,,,ro;hu,,kazánkovács,,kazánkovács,cazanar; katelsepp,,
bookkeeper,könyvelő,,,ro;hu,,könyvelő,,könyvelő,,,
bookmaker,kihlveokorraldaja,,,ro;hu,,,,,kihlveokorraldaja,,
botanist,botanikus; botaanik,,,ro;hu,,,,,botanikus; botaanik,,
brazier,arămari; rézműves; vasksepp,,,ro;hu,arămari,rézműves,arămari,rézműves,vasksepp,,
brewmaster,pruulmeister,,,ro;hu,,,,,pruulmeister,,
bricklayer,zidar; kőműves; müürsepp,,,ro;hu,,kőműves; müürsepp,,kőműves; müürsepp,zidar,,
brigadier,brigádvezető; brigadir,,,ro;hu,,brigádvezető,,brigádvezető,brigadir,,
butcher,măcelar; hentes; lihunik,,,ro;hu,măcelar,,măcelar,,hentes; lihunik,,
butler,majordom; komornyik; ülemteener,,,ro;hu,,ülemteener,,ülemteener,majordom; komornyik,,
caretaker,gondnok,,,ro;hu,,,,,gondnok,,
cartographer,cartograf; térképész; kartograaf,,,ro;hu,,térképész,,térképész,cartograf; kartograaf,,
cartoonist,caricaturist; karikaturista; karikaturist,,,ro;hu,,,,,caricaturist; karikaturista; karikaturist,,
catcher,prinzător; püüdja,,,ro;hu,prinzător,püüdja,prinzător,püüdja,,,
ceramicist,ceramist; keramikus; keraamik,,,ro;hu,,,,,ceramist; keramikus; keraamik,,
chef,főszakács; peakokk,,,ro;hu,,főszakács,,főszakács,peakokk,,
chocolatier,ciocolatier; csokoládékészítő; šokolaadimeister,,,ro;hu,,csokoládékészítő,,csokoládékészítő,ciocolatier; šokolaadimeister,,
choreographer,coregraf; koreográfus; koreograaf,,,ro;hu,,koreográfus,,koreográfus,coregraf; koreograaf,,
choreologist,coreolog; mozgáselemző; koreoloog,,,ro;hu,,mozgáselemző,,mozgáselemző,coreolog; koreoloog,,
chromatographer,cromatograf; kromatograaf,,,ro;hu,,,,,cromatograf; kromatograaf,,
clarifier,limpezitor; derítő,,,ro;hu,,derítő,,derítő,limpezitor,,
cleaner,takarító; puhastaja; curățător,,,ro;hu,curățător,takarító,curățător,takarító,puhastaja,,
climatologist,climatolog; klimatológus; klimatoloog,,,ro;hu,,klimatológus,,klimatológus,climatolog; klimatoloog,,
coachbuilder,carosier; karosszérialakatos,,,ro;hu,,karosszérialakatos,,karosszérialakatos,carosier,,
coder,kódoló; kodeerija; codificator,,,ro;hu,,kódoló,,kódoló,kodeerija; codificator,,
columnist,rovatvezető; kolumnist,,,ro;hu,,rovatvezető,,rovatvezető,kolumnist,,
communicator,comunicator; kommunikátor; kommunikaator,,,ro;hu,,kommunikátor,,kommunikátor,comunicator; kommunikaator,,
composer,compozitor; zeneszerző; helilooja,,,ro;hu,,zeneszerző,,zeneszerző,compozitor; helilooja,,
confectioner,cofetar; cukrász,,,ro;hu,,cukrász,,cukrász,cofetar,,
conservator,konservaator,,,ro;hu,,,,,konservaator,,
contractor,antreprenor; vállalkozó; töövõtja,,,ro;hu,,vállalkozó; töövõtja,,vállalkozó; töövõtja,antreprenor,,
cooper,butnar; kádár; tünnimeister,,,ro;hu,,kádár; tünnimeister,,kádár; tünnimeister,butnar,,
copywriter,szövegíró,,,ro;hu,,szövegíró,,szövegíró,,,
coroner,halottkém; kohtuarst,,,ro;hu,,halottkém,,halottkém,kohtuarst,,
cosmologist,cosmolog; kozmológus; kosmoloog,,,ro;hu,,kozmológus,,kozmológus,cosmolog; kosmoloog,,
criminologist,criminolog; kriminológus; kriminoloog,,,ro;hu,,kriminológus,,kriminológus,criminolog; kriminoloog,,
curator,kurátor; kuraator,,,ro;hu,,kurátor,,kurátor,kuraator,,
cutter,lõikur,,,ro;hu,,,,,lõikur,,
cytotechnologist,citotehnolog; citotechnológus; tsütotehnoloog,,,ro;hu,,citotechnológus; tsütotehnoloog,,citotechnológus; tsütotehnoloog,citotehnolog,,
dancer,dansator; táncos; tantsija,,,ro;hu,,táncos,,táncos,dansator; tantsija,,
dealer,diiler,,,ro;hu,,,,,diiler,,
decksman,,,,ro;hu,,,,,,,
demographer,demograf; demográfus; demograaf,,,ro;hu,,demográfus,,demográfus,demograf; demograaf,,
demonstrator,demonstraator,,,ro;hu,,,,,demonstraator,,
dentist,stomatolog; fogorvos; hambaarst,,,ro;hu,,,,,stomatolog; fogorvos; hambaarst,,
designer,disainer,,,ro;hu,,,,,disainer,,
dietitian,dietetician; dietetikus; dietoloog,,,ro;hu,,,,,dietetician; dietetikus; dietoloog,,
doctor,medic; orvos; arst,,,ro;hu,,,,,medic; orvos; arst,,
dressmaker,ruhakészítő,,,ro;hu,,ruhakészítő,,ruhakészítő,,,
driller,forer; puurija,,,ro;hu,,,,,forer; puurija,,
ecologist,ökológus; ökoloog,,,ro;hu,,ökológus; ökoloog,,ökológus; ökoloog,,,
economist,közgazdász; majandusteadlane,,,ro;hu,,közgazdász,,közgazdász,majandusteadlane,,
educator,pedagógus; kasvataja,,,ro;hu,,pedagógus,,pedagógus,kasvataja,,
embalmer,îmbălsămător; balzsamozó; palsameerija,,,ro;hu,îmbălsămător,balzsamozó,îmbălsămător,balzsamozó,palsameerija,,
embroiderer,brodeuză; hímző,,,ro;hu,brodeuză,hímző,brodeuză,hímző,,,
