combination_id,concept_ids,role_heads,derived_role_heads,note
aviation_systems_work_object_engineer,aviation;systems_work_object,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""aviation systems engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
container_work_object_design_engineer,container_work_object;design,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""container design engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
energy_systems_work_object_engineer,energy;systems_work_object,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""energy systems engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
beverage_work_object_food_work_object_technologist,beverage_work_object;food_work_object,,technologist,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""food and beverage technologist""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply technologist (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
beverage_work_object_packaging_task_technologist,beverage_work_object;packaging_task,,technologist,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""beverage packaging technologist""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply technologist (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
food_work_object_packaging_task_technologist,food_work_object;packaging_task,,technologist,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""food packaging technologist""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply technologist (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
distribution_gas_product_engineer,distribution;gas_product,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""gas distribution engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
design_tool_work_object_engineer,design;tool_work_object,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""tool design engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
industrial_leather_work_object_engineer,industrial;leather_work_object,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""industrial leather engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
project_rail_work_object_engineer,project;rail_work_object,,engineer,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""rail project engineer""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply engineer (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
footwear_work_object_textile_work_object_researcher,footwear_work_object;textile_work_object,,researcher,"Reviewed 2026-09-03: paired concept combination grounded in ESCO leaf pattern for ""footwear and textile researcher""; each concept alone currently resolves role_head=none, but the concepts co-occurring together reliably imply researcher (safer than a single-concept combination since any one concept alone can act as a modifier in unrelated titles)."
