ammunition_product,ammunition,product,muniție,lőszer
ammunition_task,ammunition,task,gestiune muniție,lőszerkezelés
ammunition_work_object,ammunition,work_object,muniție,lőszer
amusement_task,amusement,task,divertisment,szórakoztatás
anaerobic_industry,anaerobic,industry,procese anaerobe,anaerob ipar
anaesthetic,anaesthetic,industry,anestezie,érzéstelenítés
analysis,analysis,task,analiză,elemzés
analytical_industry,analytical,industry,analitic,analitikai ipar
anatomical,anatomical,industry,anatomie,anatómiai
animal,animal,population,animale,állatok
animals,animals,population,animale,állatok
animation_task,animation,task,animație,animáció
anodising_task,anodising,task,anodizare,eloxálás
anthropology_knowledge_domain,anthropology,knowledge_domain,antropologie,antropológia
antique_work_object,antique,work_object,antic,antikvitás
apparel_task,apparel,task,confecționare îmbrăcăminte,ruházati munkák
appliance_industry,appliance,industry,electrocasnice,háztartási gépipar
appliances_product,appliances,product,electrocasnice,háztartási gépek
appliances_work_object,appliances,work_object,electrocasnice,háztartási gépek
application_product,application,product,aplicație,alkalmazás
application_task,application,task,aplicare,alkalmazás
application_work_object,application,work_object,aplicație,alkalmazás
applications_product,applications,product,aplicații,alkalmazások
applications_work_object,applications,work_object,aplicații,alkalmazások
applied_knowledge_domain,applied,knowledge_domain,științe aplicate,alkalmazott tudományok
aquaculture,aquaculture,industry,acvacultură,akvakultúra
aquatic_industry,aquatic,industry,mediu acvatic,vízi ipar
archaeology_knowledge_domain,archaeology,knowledge_domain,arheologie,régészet
architectural,architectural,industry,arhitectură,építészet
architecture_knowledge_domain,architecture,knowledge_domain,arhitectură,építészet
archive_industry,archive,industry,arhive,levéltár
archiving,archiving,task,arhivare,archiválás
arena,arena,venue,arenă,aréna
armed_force_task,armed force,task,serviciu în forțele armate,fegyveres szolgálat
armoured_car_work_object,armoured car,work_object,mașină blindată,páncélautó
army_industry,army,industry,armată,hadsereg
art,art,knowledge_domain,artă,művészet
artificial,artificial,industry,materiale artificiale,mesterséges ipar
artillery_work_object,artillery,work_object,artilerie,tüzérség
artisanal_industry,artisanal,industry,artizanat,kézművesség
artistic_industry,artistic,industry,sector artistic,művészeti szektor
arts,arts,knowledge_domain,arte,művészetek
asbesto_task,asbesto,task,îndepărtare azbest,azbesztmentesítés
asphalt_work_object,asphalt,work_object,asfalt,aszfalt
assembly,assembly,task,asamblare,összeszerelés
asset_work_object,asset,work_object,activ,vagyontárgy
assisted_work_object,assisted,work_object,asistat,segített
assistive_industry,assistive,industry,tehnologii asistive,segítő technológiák
assurance_task,assurance,task,asigurare a calității,minőségbiztosítás
at_knowledge_domain,at,knowledge_domain,asistență tehnică,műszaki segítségnyújtás
atm_product,atm,product,bancomat,bankautomata
atm,atm,work_object,bancomat,bankautomata
atm_work_object,atm,work_object,bancomat,bankautomata
attraction_task,attraction,task,atragere,vonzás
auction_task,auction,task,licitație,árverés
audio_knowledge_domain,audio,knowledge_domain,audio,audio
audio_product,audio,product,echipament audio,audiofelszerelés
audio_work_object,audio,work_object,audio,audio
audio_visual_industry,audio-visual,industry,audiovizual,audiovizuális
audiology_knowledge_domain,audiology,knowledge_domain,audiologie,audiológia
audit_work_object,audit,work_object,audit,audit
auditing,auditing,task,auditare,könyvvizsgálat
auger_work_object,auger,work_object,burghiu melcat,fúrócsiga
automated_work_object,automated,work_object,sistem automatizat,automatizált rendszer
automated_cable_vehicle_work_object,automated cable vehicle,work_object,vehicul automat pe cablu,automatizált kábeles jármű
automated_fly_work_object,automated fly,work_object,mecanism automat de scenă,automatizált zsinórpad
automation_task,automation,task,automatizare,automatizálás
automotive,automotive,industry,automobilistic,gépjárműipar
autonomou_knowledge_domain,autonomou,knowledge_domain,sisteme autonome,autonóm rendszerek
auxiliary_industry,auxiliary,industry,servicii auxiliare,kisegítő ipar
aviation,aviation,industry,aviație,repülés
avionics_work_object,avionic,work_object,avionică,repülőgép-elektronika
back_knowledge_domain,back,knowledge_domain,back-end,back-end
back_work_object,back,work_object,spate,hát
bacteriology_knowledge_domain,bacteriology,knowledge_domain,bacteriologie,bakteriológia
baggage_task,baggage,task,gestiune bagaje,poggyászkezelés
bakery_product,bakery,product,produse de brutărie,pékáru
baking_task,baking,task,coacere,sütés
band_saw_work_object,band saw,work_object,ferăstrău panglică,szalagfűrész
bank,bank,industry,bancă,bank
banking,banking,industry,servicii bancare,banki szektor
bar,bar,venue,bar,bár
bathroom_work_object,bathroom,work_object,baie,fürdőszoba
battery_product,battery,product,baterie,akkumulátor
battery_work_object,battery,work_object,baterie,akkumulátor
beauty,beauty,industry,frumusețe,szépségipar
bed_work_object,bed,work_object,pat,ágy
bee_work_object,bee,work_object,albine,méhek
beer_work_object,beer,work_object,bere,sör
behavioural_industry,behavioural,industry,comportamental,magatartási
belt_work_object,belt,work_object,curea,szíj
belt_mould_work_object,belt mould,work_object,matriță de curea,szíjforma
benefit_advice_work_object,benefit advice,work_object,consiliere prestații,ellátási tanácsadás
bereavement_task,bereavement,task,asistență în caz de doliu,gyászsegítség
bespoke_footwear_work_object,bespoke footwear,work_object,încălțăminte la comandă,egyedi lábbeli
betting_task,betting,task,pariuri,fogadás
beverage_knowledge_domain,beverage,knowledge_domain,băuturi,italok
beverage_product,beverage,product,băutură,ital
beverage_work_object,beverage,work_object,băutură,ital
beverages_product,beverages,product,băuturi,italok
bicycle_work_object,bicycle,work_object,bicicletă,kerékpár
bid_work_object,bid,work_object,ofertă,ajánlat
big_data_industry,big data,industry,big data,big data
billing_task,billing,task,facturare,számlázás
bindery_work_object,bindery,work_object,legătorie,könyvkötészet
biochemical_industry,biochemical,industry,biochimic,biokémiai
biochemistry_work_object,biochemistry,work_object,biochimie,biokémia
bioga_work_object,bioga,work_object,biogaz,biogáz
bioinformatics_work_object,bioinformatic,work_object,bioinformatică,bioinformatika
biology,biology,knowledge_domain,biologie,biológia
biomedical,biomedical,industry,biomedical,biomedicina
biotechnical_industry,biotechnical,industry,biotehnic,biotechnikai
blanching_task,blanching,task,opărire,blansírozás
blasting,blasting,task,sablare,homokfúvás
blending_task,blending,task,amestecare,keverés
block_work_object,block,work_object,bloc,blokk
blockchain_work_object,blockchain,work_object,blockchain,blokklánc
blow_work_object,blow,work_object,suflare,fúvás
board_work_object,board,work_object,placă,tábla
boat_work_object,boat,work_object,barcă,csónak
body_knowledge_domain,body,knowledge_domain,anatomie corporală,testtan
body_work_object,body,work_object,corp,test
boiler_work_object,boiler,work_object,cazan,kazán
bomb_work_object,bomb,work_object,bombă,bomba
book_knowledge_domain,book,knowledge_domain,carte,könyv
book_work_object,book,work_object,carte,könyv
book_sewing_task,book-sewing,task,coasere cărți,könyvfűzés
bookshop_product,bookshop,product,librărie,könyvesbolt
boom_work_object,boom,work_object,braț de macara,gém
boring_task,boring,task,găurire,fúrás
botanical_industry,botanical,industry,botanic,botanikai
bottling_task,bottling,task,îmbuteliere,palackozás
boxing_task,boxing,task,ambalare în cutii,dobozolás
braiding_task,braiding,task,împletire,fonás
brake_work_object,brake,work_object,frână,fék
branch_work_object,branch,work_object,ramură,fiók
brand_work_object,brand,work_object,brand,márka
branding_task,branding,task,branding,márképítés
breakfast_work_object,breakfast,work_object,mic dejun,reggeli
breeding,breeding,task,creștere animale,tenyésztés
brew_work_object,brew,work_object,bere preparată,főzött sör
brick_work_object,brick,work_object,cărămidă,tégla
bricklaying_task,bricklaying,task,zidărie,téglarakás
bridge_work_object,bridge,work_object,pod,híd
briquetting_task,briquetting,task,brichetare,brikettálás
broadcast,broadcast,channel,difuzare,műsorszórás
broadcasting_task,broadcasting,task,radiodifuziune,műsorszórás
brokerage_firm_knowledge_domain,brokerage firm,knowledge_domain,firmă de brokeraj,brókercég
brush_work_object,brush,work_object,perie,kefe
budget_knowledge_domain,budget,knowledge_domain,buget,költségvetés
building,building,task,clădire,épület
bulk_work_object,bulk,work_object,vrac,ömlesztett áru
bulldozer_work_object,bulldozer,work_object,buldozer,dozer
burning_task,burning,task,ardere,égetés
bus_knowledge_domain,bus,knowledge_domain,autobuz,autóbusz
bus_route_work_object,bus route,work_object,rută de autobuz,buszvonal
business,business,knowledge_domain,afaceri,üzlet
business_studies,business studies,knowledge_domain,studii de afaceri,üzleti tanulmányok
cabin_crew_knowledge_domain,cabin crew,knowledge_domain,echipaj de cabină,utaskísérők
cabinet_work_object,cabinet,work_object,dulap,szekrény
cable_product,cable,product,cablu,kábel
cable_work_object,cable,work_object,cablu,kábel
cacao_bean_work_object,cacao bean,work_object,boabă de cacao,kakaóbab
cad,cad,knowledge_domain,CAD,CAD
cadastral_industry,cadastral,industry,cadastral,kataszteri
cage_work_object,cage,work_object,cușcă,ketrec
cake_work_object,cake,work_object,prăjitură,sütemény
calculation_task,calculation,task,calcul,számítás
calibration_task,calibration,task,calibrare,kalibrálás
call,call,channel,apel,hívás
call_centre,call centre,channel,call center,call center
camera_work_object,camera,work_object,cameră foto,fényképezőgép
camp,camp,venue,tabără,tábor
campaign_industry,campaign,industry,campanie,kampány
camping_task,camping,task,camping,kempingezés
campus,campus,venue,campus,kampusz
candle_work_object,candle,work_object,lumânare,gyertya
candy_work_object,candy,work_object,bomboane,édesség
canning,canning,task,conservare,konszervezés
canva_good_work_object,canva good,work_object,produs Canva,Canva termék
capacity_knowledge_domain,capacity,knowledge_domain,capacitate,kapacitás
capsule_work_object,capsule,work_object,capsulă,kapszula
car_knowledge_domain,car,knowledge_domain,automobile,autók
car_product,car,product,automobil,autó
carbonation_task,carbonation,task,carbonatare,szénsavasítás
care,care,task,îngrijire,gondozás
career_guidance_work_object,career guidance,work_object,orientare profesională,pályaválasztási tanácsadás
cargo_work_object,cargo,work_object,marfă,teheráru
cargo_vehicle_work_object,cargo vehicle,work_object,vehicul de marfă,teherjármű
carpet_product,carpet,product,covor,szőnyeg
carpet_handicraft_work_object,carpet handicraft,work_object,artizanat de covoare,szőnyegkézművesség
carriage_work_object,carriage,work_object,trăsură,vagon
case_work_object,case,work_object,caz,eset
casino_task,casino,task,cazino,kaszinó
casting_task,casting,task,turnare,öntés
category_industry,category,industry,categorie,kategória
cattle_work_object,cattle,work_object,bovine,szarvasmarha
ceiling_task,ceiling,task,plafonare,plafonozás
cell_industry,cell,industry,celular,sejt-
cellar,cellar,venue,pivniță,pince
cemetery_work_object,cemetery,work_object,cimitir,temető
center,center,venue,centru,központ
central_industry,central,industry,central,központi
central_bank,central bank,industry,bancă centrală,jegybank
centre_channel,centre,channel,centru,központ
centre,centre,venue,centru,központ
centrifuge_work_object,centrifuge,work_object,centrifugă,centrifuga
ceramic_industry,ceramic,industry,ceramică,kerámiaipar

concept_id,canonical,dimension,ro,hu
chain_work_object,chain,work_object,lanț,lánc
chairside_industry,chairside,industry,stomatologie,fogászati asszisztencia
change_noop,change,noop,managementul schimbării,változáskezelés
change_noop,change,noop,schimbare,változás
channel_channel,channel,channel,canal,csatorna
chat_work_object,chat,work_object,chat,chat
checkout_work_object,checkout,work_object,casă de marcat,kassza
chemical,chemical,industry,chimie industrială,vegyipar
chemistry,chemistry,knowledge_domain,chimie,kémia
child,child,population,copii,gyermekek
childcare_task,childcare,task,îngrijire copii,gyermekgondozás
children,children,population,copii,gyermekek
chilling_task,chilling,task,răcire,hűtés
china_knowledge_domain,china,knowledge_domain,porțelanuri,porcelánok
china_product,china,product,porțelan,porcelán
chinese_knowledge_domain,chinese,knowledge_domain,limba chineză,kínai nyelv
chiropractic_industry,chiropractic,industry,quiropractică,kiropraktika
chocolate_product,chocolate,product,ciocolată,csokoládé
chocolate_work_object,chocolate,work_object,ciocolată,csokoládé
church,church,venue,biserică,templom
cider_work_object,cider,work_object,cidru,almabor
cigar_work_object,cigar,work_object,trabuc,szivar
cigarette_work_object,cigarette,work_object,țigaretă,cigaretta
circu_knowledge_domain,circu,knowledge_domain,circuite,áramkörök
circuit_product,circuit,product,circuit,áramkör
circuit_work_object,circuit,work_object,circuit,áramkör
circuits_product,circuits,product,circuite,áramkörök
circuits_work_object,circuits,work_object,circuite,áramkörök
civil,civil,industry,civil,polgári
claim_industry,claim,industry,daune,kárigény-kezelés
classical,classical,knowledge_domain,clasic,klasszikus
clay_product_dry_kiln_work_object,clay product dry kiln,work_object,cuptor de uscare produse din argilă,agyagáru-szárítókemence
cleaning,cleaning,task,curățenie,takarítás
client_task,client,task,relații clienți,ügyfélkezelés
clinic,clinic,venue,clinică,klinika
clinical,clinical,industry,clinic,klinikai
cloak_work_object,cloak,work_object,pelerină,köpeny
clock_work_object,clock,work_object,ceas,óra
clothing_product,clothing,product,îmbrăcăminte,ruházat
clothing_task,clothing,task,confecționare haine,ruhakészítés
cloud_work_object,cloud,work_object,cloud,felhő
cloud_devop_work_object,cloud devop,work_object,cloud devops,felhő devops
cloud_identity_work_object,cloud identity,work_object,identitate cloud,felhőidentitás
club,club,venue,club,klub
co_work_object,co,work_object,co-monoxid,ko-
coagulation_task,coagulation,task,coagulare,koaguláció
coastguard_watch_work_object,coastguard watch,work_object,supraveghere gardă de coastă,tengerparti őrség
coating_task,coating,task,acoperire,bevonás
cocoa_product,cocoa,product,cacao,kakaó
cocoa_work_object,cocoa,work_object,cacao,kakaó
code_industry,code,industry,codificare,kódolás
coffee_industry,coffee,industry,industria cafelei,kávéipar
coffee_product,coffee,product,cafea,kávé
coffee_tea_cocoa_knowledge_domain,coffee tea cocoa,knowledge_domain,cafea ceai cacao,kávé tea kakaó
coffee_tea_cocoa_product,coffee tea cocoa,product,cafea ceai cacao,kávé tea kakaó
coking_task,coking,task,cocsificare,kokszosítás
collection_task,collection,task,colectare,gyűjtés
colour_work_object,colour,work_object,culoare,szín
commercial,commercial,industry,comercial,kereskedelmi
commissioning_task,commissioning,task,punere în funcțiune,üzembe helyezés
commodity_product,commodity,product,mărfuri,áru
communication_task,communication,task,comunicare,kommunikáció
common_carrier_task,common carrier,task,transport public,közösségi fuvarozás
communications,communications,knowledge_domain,comunicații,hírközlés
community_knowledge_domain,community,knowledge_domain,comunitate,közösség
community_population,community,population,comunitate,közösség
community_work_object,community,work_object,comunitate,közösség
compensation_task,compensation,task,compensații,kompenzáció
competition_task,competition,task,concurență,verseny
complementary_industry,complementary,industry,terapii complementare,komplementer ipar
compliance,compliance,knowledge_domain,conformitate,megfelelőség
component_work_object,component,work_object,componentă,alkatrész
compression_task,compression,task,compresie,sűrítés
computer_knowledge_domain,computer,knowledge_domain,calculatoare,számítástechnika
computer_product,computer,product,calculator,számítógép
computer_work_object,computer,work_object,calculator,számítógép
computer_computer_product,computer computer,product,calculator,számítógép
computer_software_work_object,computer software,work_object,software de calculator,számítógépes szoftver
computers_product,computers,product,calculatoare,számítógépek
computers_work_object,computers,work_object,calculatoare,számítógépek
conceptual_industry,conceptual,industry,conceptual,koncepcionális
concrete_work_object,concrete,work_object,beton,beton
concrete_product_work_object,concrete product,work_object,produse din beton,betontermék
condition_task,condition,task,condiționare,kondicionálás
conditioning_task,conditioning,task,condiționare,kondicionálás
confectionery_product,confectionery,product,dulciuri,édesség
confectionery_work_object,confectionery,work_object,dulciuri,édesség
configuration,configuration,task,configurare,konfigurálás
conservation_task,conservation,task,conservare,conserválás
construction,construction,industry,construcții,építőipar
consumer_knowledge_domain,consumer,knowledge_domain,consumatori,fogyasztók
consumer_work_object,consumer,work_object,consumator,fogyasztó
consumer_good_work_object,consumer good,work_object,bun de consum,fogyasztási cikk
consumer_right_work_object,consumer right,work_object,drepturile consumatorului,fogyasztói jog
contact_knowledge_domain,contact,knowledge_domain,contact,kapcsolat
container_product,container,product,container,konténer
container_work_object,container,work_object,container,konténer
contract_work_object,contract,work_object,contract,szerződés
control,control,task,control,ellenőrzés
converting_task,converting,task,conversie,átalakítás
conveyance_work_object,conveyance,work_object,mijloc de transport,szállítóeszköz
coordination,coordination,task,coordonare,koordináció
copy_knowledge_domain,copy,knowledge_domain,copy,másolás
coquille_task,coquille,task,coquille,coquille
corporate,corporate,industry,corporativ,vállalati
correctional,correctional,industry,corecțional,büntetés-végrehajtási
correspondence,correspondence,task,corespondență,levelezés
corrosion_task,corrosion,task,coroziune,korrózió
corrugator_work_object,corrugator,work_object,ondulator,hullámosító
cosmetic_industry,cosmetic,industry,cosmetice,kozmetikai ipar
cosmetics_knowledge_domain,cosmetic,knowledge_domain,cosmetice,kozmetika
cosmetics_product,cosmetic,product,cosmetice,kozmetikumok
cosmetics_work_object,cosmetic,work_object,cosmetice,kozmetikumok
cosmetics_product,cosmetics,product,cosmetice,kozmetikumok
cost_knowledge_domain,cost,knowledge_domain,costuri,költségek
costume_product,costume,product,costume,kosztüm
cotton_gin_work_object,cotton gin,work_object,egrenă de bumbac,pamutmagvatlanító
counselling,counselling,task,consiliere,tanácsadás
counter_work_object,counter,work_object,tejghea,pult
countryside_work_object,countryside,work_object,zonă rurală,vidék
court,court,venue,instanță,bíróság
covid_work_object,covid,work_object,covid,covid
craft_work_object,craft,work_object,meșteșug,kézművesség
crane_work_object,crane,work_object,macara,daru
crane_crew_work_object,crane crew,work_object,echipaj de macara,darus személyzet
creative_industry,creative,industry,industrii creative,kreatív ipar
credit_knowledge_domain,credit,knowledge_domain,creditare,hitel
credit_union_work_object,credit union,work_object,cooperativă de credit,hitelszövetkezet
crime_knowledge_domain,crime,knowledge_domain,infracționalitate,bűnözés
criminal_industry,criminal,industry,drept penal,büntetőjog
crisis_industry,crisi,industry,gestionarea crizelor,válságkezelés
crisis_helpline_work_object,crisi helpline,work_object,linie de urgență pentru crize,lelki segélyvonal
crop_industry,crop,industry,culturi agricole,növénytermesztés
crosscut_saw_work_object,crosscut saw,work_object,ferăstrău transversal,keresztvágó fűrész
crossing_task,crossing,task,trecere,átkelés
crowd_work_object,crowd,work_object,mulțime,tömeg
crushing_task,crushing,task,zdrobire,zúzás
crustaceans_product,crustaceans,product,crustacee,rákfélék
cultural,cultural,industry,cultural,kulturális
curing_task,curing,task,maturare,érlelés
curriculum_work_object,curriculum,work_object,curriculum,tanterv
custom_work_object,custom,work_object,personalizat,egyedi
customer,customer,population,clienți,ügyfél
customers,customers,population,clienți,ügyfelek
cutting,cutting,task,tăiere,vágás
cybersecurity_task,cybersecurity,task,securitate cibernetică,kiberbiztonság
cylinder_work_object,cylinder,work_object,cilindru,henger
cylindrical_industry,cylindrical,industry,cilindric,hengeres
dairy,dairy,industry,lactate,tejipar
dance_knowledge_domain,dance,knowledge_domain,dans,tánc
dangerou_good_task,dangerou good,task,mărfuri periculoase,veszélyes áruk
data_knowledge_domain,data,knowledge_domain,date,adatok
data_work_object,data,work_object,date,adatok
database_product,database,product,bază de date,adatbázis
database_work_object,database,work_object,bază de date,adatbázis
dating_task,dating,task,dating,társkeresés
day_task,day,task,zi,nap
de_icer,de-icer,task,dezghețător,jégtelenítő
debarker_work_object,debarker,work_object,decojitor,kérgezőgép
debt_work_object,debt,work_object,datorie,adósság
deburring_task,deburring,task,debavurare,sorjátlanítás
deck_work_object,deck,work_object,punte,fedélzet
decontamination_task,decontamination,task,decontaminare,dekontaminálás
decorative_industry,decorative,industry,decorativ,dekoratív
deep_sea_industry,deep sea,industry,adâncime marină,mélytengeri ipar
defence_task,defence,task,apărare,védelmi feladatok
deinking_task,deinking,task,dezcernealare,festékmentesítés
delicatessen_product,delicatessen,product,delicatese,csemege
delivery,delivery,task,livrare,kézbesítés
demolition_task,demolition,task,demolare,bontás
dental_industry,dental,industry,stomatologie,fogászat
dentistry_knowledge_domain,dentistry,knowledge_domain,stomatologie,fogászat
department,department,venue,departament,részleg
dependability_work_object,dependability,work_object,fiabilitate,megbízhatóság
deputy_knowledge_domain,deputy,knowledge_domain,adjunct,helyettes
desalination_task,desalination,task,desalinizare,sómentesítés
design,design,task,design,tervezés
desk_channel,desk,channel,birou de asistență,pult csatorna
destination_task,destination,task,destinație,célállomás
development,development,task,dezvoltare,fejlesztés
device_product,device,product,dispozitiv,eszköz
device_work_object,device,work_object,dispozitiv,eszköz
devices_product,devices,product,dispozitive,eszközök
devices_work_object,devices,work_object,dispozitive,eszközök
dewatering_task,dewatering,task,deshidratare,víztelenítés
diagnostic_industry,diagnostic,industry,diagnostic,diagnosztika
die_work_object,die,work_object,matriță,stancolószerszám
diesel_work_object,diesel,work_object,diesel,dízel
diet_work_object,diet,work_object,dietă,diéta
dietetic_industry,dietetic,industry,dietetică,dietetika
digester_work_object,digester,work_object,digestor,emésztő
digestion,digestion,task,digestie,emésztés
digital,digital,industry,digital,digitális
dip_work_object,dip,work_object,baie de imersie,mártás
dipping_task,dipping,task,imersie,mártás
disability_task,disability,task,dizabilitate,fogyatékosságkezelés
disaster_knowledge_domain,disaster,knowledge_domain,dezastre,katasztrófavédelem
disc_work_object,disc,work_object,disc,lemez
disk_product,disk,product,disc,lemez
dismantling_task,dismantling,task,dezmembrare,szétszerelés
disposal_industry,disposal,industry,eliminarea deșeurilor,hulladékártalmatlanítás
distillation_task,distillation,task,distilare,lepárlás
distillery_work_object,distillery,work_object,distilerie,szeszfőzde
distribution,distribution,channel,distribuție,elosztás
dividend_knowledge_domain,dividend,knowledge_domain,dividende,osztalék
division_task,division,task,divizie,részleg
medical_practice,medical practice,venue,cabinet medical,orvosi rendelő
document_task,document,task,documentare,dokumentálás
documentation,documentation,task,documentație,dokumentáció
dog_knowledge_domain,dog,knowledge_domain,câini,kutyák
doll_work_object,doll,work_object,păpușă,baba
domestic_industry,domestic,industry,domestic,háztartási
door_product,door,product,ușă,ajtó
door_work_object,door,work_object,ușă,ajtó
drain_work_object,drain,work_object,scurgere,lefolyó
drainage_work_object,drainage,work_object,drenaj,vízelvezetés
drama,drama,knowledge_domain,dramă,dráma
drapery_work_object,drapery,work_object,draperie,függöny
drawing_task,drawing,task,desenare,rajzolás
dredge_work_object,dredge,work_object,dragă,kotróhajó
dredging_task,dredging,task,dragare,kotrás
drill_product,drill,product,burghiu,fúró
drill_work_object,drill,work_object,burghiu,fúró
drilling_task,drilling,task,foraj,fúrás
driving,driving,task,conducere,vezetés
drone_work_object,drone,work_object,dronă,drón
drop_task,drop,task,picurare,cseppentés
drug_task,drug,task,medicamente,gyógyszerkezelés
drugs_product,drugs,product,medicamente,gyógyszerek
drugstore_work_object,drugstore,work_object,farmacie,gyógyszertár
dry_work_object,dry,work_object,uscare,száraz
dryer_work_object,dryer,work_object,uscător,szárító
drying_task,drying,task,uscare,szárítás
duty_work_object,duty,work_object,sarcină,feladat
dyeing_task,dyeing,task,vopsire,festés
e_learning,e-learning,channel,e-learning,e-learning
early_year_knowledge_domain,early year,knowledge_domain,primii ani,koragyermekkor
early_years_population,early years,population,copii vârstă timpurie,kisgyermekek
earth_knowledge_domain,earth,knowledge_domain,Pământ,Föld
ebusiness_work_object,ebusiness,work_object,afacere electronică,e-üzlet
economic,economic,industry,economic,gazdasági
economics,economics,knowledge_domain,economie,közgazdaságtan
edge_bander_work_object,edge bander,work_object,mașină de aplicat cant,élzárógép
edible_oil_knowledge_domain,edible oil,knowledge_domain,uleiuri comestibile,étolajok
edible_oil_product,edible oil,product,ulei comestibil,étolaj
editorial_industry,editorial,industry,editorial,szerkesztőség
education_task,education,task,educație,oktatás
educational,educational,industry,educațional,oktatási
educational_population,educational,population,populație școlară,oktatási népesség
effect_knowledge_domain,effect,knowledge_domain,efecte,hatások
elderly,elderly,population,vârstnici,idősek
election_task,election,task,alegeri,választás
electric_industry,electric,industry,electricitate,villamosság
electrical,electrical,industry,electric,villamos
electricity_knowledge_domain,electricity,knowledge_domain,electricitate,villamosság
electricity_product,electricity,product,electricitate,villamosság
electricity_work_object,electricity,work_object,electricitate,villamosság
electrolytic_industry,electrolytic,industry,electrolitic,elektrolitikus
electromagnetic_industry,electromagnetic,industry,electromagnetic,elektromágneses
electromechanical_industry,electromechanical,industry,electromecanic,elektromechanikai
electron_beam_work_object,electron beam,work_object,fascicul de electroni,elektronnyaláb
electronic,electronic,industry,electronic,elektronikus
electronics,electronics,knowledge_domain,electronică,elektronika
electroplating_task,electroplating,task,galvanizare,galvanizálás
embassy_work_object,embassy,work_object,ambasadă,nagykövetség
embedded_knowledge_domain,embedded,knowledge_domain,sisteme incorporate,beágyazott rendszerek
embedded_work_object,embedded,work_object,incorporat,beágyazott
embossing_task,embossing,task,embosare,dombornyomás
embroidery_work_object,embroidery,work_object,broderie,hímzés
embryo_work_object,embryo,work_object,embrion,embrió
emergency_industry,emergency,industry,urgențe,sürgősségi ipar
emergency_ambulance_work_object,emergency ambulance,work_object,ambulanță de urgență,mentőautó
emergency_respons_industry,emergency respon,industry,răspuns la urgențe,kárhelyi beavatkozás
employee_task,employee,task,angajat,munkavállaló
employer_task,employer,task,angajator,munkáltató
employment_task,employment,task,ocuparea forței de muncă,foglalkoztatás
energy,energy,industry,energie,energiaipar
