family_node_id	family_label	role_heads	authority_levels	venue	channel	product	population	task	industry	knowledge_domain	work_object	residual_policy
14727	Engineering Professionals Excluding Electrotechnology	architect|assayer|bioengineer|brewmaster|consultant|designer|engineer|expert|manager|master|metallurgist|nanoengineer|oenologist|planner|researcher|specialist|surveyor|technologist	none	airport|mine|office|plant|railway|site	distribution			design|development|driving|installation|maintenance|manufacturing|planning|process|processing|production|project|protection|quality|repair|research|safety|test|treatment|welding	acoustical|agricultural|automotive|aviation|biomedical|chemical|civil|construction|energy|environmental|health|industrial|logistics|marine|mechanical|mechatronics|mining|nuclear|pharmaceutical|renewable|road|solar|synthetic|transport	aerodynamics|aerospace|autonomou_knowledge_domain|compliance|engineering|footwear_knowledge_domain|technology|textile_leather_knowledge_domain	air_work_object|application_work_object|component_work_object|container_work_object|contract_work_object|dependability_work_object|drainage_work_object|engine_work_object|equipment_work_object|fire_work_object|fluid_power_work_object|food_work_object|fuel_work_object|gas_work_object|ground_work_object|hydropower_work_object|leather_good_work_object|liquid_fuel_work_object|machinery_work_object|materials_work_object|offshore_work_object|onshore_wind_work_object|paper_work_object|patent_work_object|petroleum_work_object|photonics_work_object|pipeline_work_object|powertrain_work_object|quantity_work_object|quarry_work_object|rail_work_object|robotics_work_object|steam_work_object|surface_work_object|systems_work_object|tool_work_object|waste_work_object|wastewater_work_object|water_based_work_object|wood_work_object	specific
14735	Electrotechnology Engineers	analyst|designer|engineer|expert	none	home|laboratory|mine|office|plant	distribution			design|maintenance|manufacturing|test	electrical|electronic|medical	electronics|language|microelectronics|telecommunications	battery_work_object|circuit_work_object|computer_work_object|device_work_object|flight_work_object|hardware_work_object|integrated_work_object|materials_work_object|microsystem_work_object|power_work_object|satellite_work_object|sensor_work_object|smart_work_object|system_work_object	specific
14739	Architects Planners Surveyors And Designers	animator|architect|artist|cartographer|colourist|consultant|designer|developer|illustrator|maker|manager|model|modeller|planner|publisher|specialist|surveyor|technician	none	mine|office|site|studio				design|layout|mobility_task|performance|services	automotive|digital|fashion|industrial|interior|road|transport	3d_knowledge_domain|data_knowledge_domain|effect_knowledge_domain|media_knowledge_domain|motion_knowledge_domain|smart_city_knowledge_domain|stop_knowledge_domain|video_knowledge_domain	land_work_object|landscape_work_object|leather_good_product_work_object|textile_product_work_object|urban_work_object	specific
14747	Medical Doctors	doctor|general|practitioner|specialist	none	clinic|hospital			patient		healthcare|specialised	medicine		specific
14750	Nursing And Midwifery Professionals	assistant|general|midwife|nurse|practitioner|specialist	none	clinic|hospital			infant|patient	care|support	advanced_industry|healthcare|medical	nursing		specific
14753	Traditional And Complementary Medicine Professionals	acupuncturist|aromatherapist|homeopath|therapist	none	clinic			patient	care		medicine|traditional_chinese_medicine_knowledge_domain		specific
14757	Veterinarians	chiropractor|general|hydrotherapist|official|osteopath|physiotherapist|professional|scientist|therapist|veterinarian	none	clinic|facility|farm			animal	care	health|specialised|veterinary	medicine	massage_work_object	specific
14759	Other Health Professionals	assistant|audiologist|chiropractor|coordinator|cytotechnologist|dentist|dietitian|ergonomist|examiner|expert|hygienist|kinesiologist|nutritionist|officer|optometrist|orthoptist|osteopath|pharmacist|physiotherapist|podiatrist|practitioner|professional|psychologist|psychotherapist|radiographer|scientist|specialist|technician|therapist	none	clinic|hospital|laboratory|office			animal|patient	protection|quality|response|safety	advanced_industry|anatomical|biomedical|clinical|educational|emergency_industry|health|industrial|medical|nuclear|occupational|pharmaceutical|prepared_industry	art|food_knowledge_domain|language|medicine|music|physics|science|speech	assisted_work_object|orthotics_work_object|pharmacy_work_object|podiatry_work_object	residual_when_no_specific_family
14769	University And Higher Education Teachers	assistant|educator|instructor|lecturer|specialist|teacher	none	school|theatre|university			student	journalism|research|teaching|work	academic|educational|healthcare|practice_industry|social|veterinary	architecture_knowledge_domain|art|arts|biology|business|chemistry|classical|communications|computer_knowledge_domain|dance_knowledge_domain|dentistry_knowledge_domain|earth_knowledge_domain|economics|engineering|fine_knowledge_domain|food_knowledge_domain|higher_knowledge_domain|history|languages|law|linguistics_knowledge_domain|literature_knowledge_domain|mathematics|medicine|modern_knowledge_domain|music|nursing|pharmacy_knowledge_domain|philosophy|physics|politics_knowledge_domain|psychology|science|space_knowledge_domain|studies		specific
14771	Vocational Education Teachers	firefighter|instructor|officer|teacher|trainer	none	centre|laboratory|railway|school			student	administration|armed_force_task|design|driving|service|training	agriculture|aquaculture|aviation|beauty|educational|energy|forestry|hospitality|industrial|medical|occupational|physical|transport|vocational	arts|business|cabin_crew_knowledge_domain|electricity_knowledge_domain|electronics|food_knowledge_domain|maritime_knowledge_domain|marketing|midwifery_knowledge_domain|nursing|police_knowledge_domain|technology|tourism_knowledge_domain|travel		specific
14773	Secondary Education Teachers	teacher	none	school|secondary_school			adolescent|student		educational|physical	art|at_knowledge_domain|biology|business_studies|chemistry|classical|drama|economics|geography|history|ict_knowledge_domain|languages|literature_knowledge_domain|mathematics|modern_knowledge_domain|music|philosophy|physics|science		specific
14775	Primary School And Early Childhood Teachers	teacher	none	primary_school|school			child|early_years_population|pupil	care		freinet_knowledge_domain|montessori_knowledge_domain|steiner_knowledge_domain		specific
14778	Other Teaching Professionals	administrator|adviser|architect|assessor|coach|coordinator|counsellor|designer|developer|inspector|instructor|mentor|officer|researcher|teacher|technologist|trainer|tutor	none	centre|primary_school|prison|school|secondary_school|university	e_learning		adult|early_years_population|special_educational_needs|student|students	admissions|learning|prior_task|support	academic|digital|educational|photography|public	arts|dance_knowledge_domain|drama|further_knowledge_domain|gifted_knowledge_domain|ict_knowledge_domain|itinerant_knowledge_domain|language|literacy|music|sign_language|talented_knowledge_domain|visual	curriculum_work_object	residual_when_no_specific_family
14787	Finance Professionals	accountant|adviser|analyst|assistant|auditor|banker|capitalist|controller|examiner|investor|manager|officer|planner|supervisor|trustee|valuer	none	office				control|management|programme|relationship|risk	banking|corporate|finance_industry|financial|fraud_industry|fund_industry|insurance|investment|public|trust_industry	accounting|budget_knowledge_domain|business|compliance|cost_knowledge_domain|dividend_knowledge_domain|merger_knowledge_domain|middle_knowledge_domain|securities|tax	audit_work_object	specific
14791	Administration Professionals	administrator|adviser|analyst|assistant|coach|consultant|coordinator|estimator|inspector|manager|officer|professional|specialist|trainer	none	market|office				administrative|affairs|building|development|integration|labour_task|manufacturing|planning|policy|process|programme|service|services	agricultural|civil|corporate|cultural|environmental|government|health|healthcare|legal|logistics|occupational|political|public|social|sports|vocational	business|foreign|human_resources|information	career_guidance_work_object|humanitarian_work_object|lean_work_object	specific
14796	Sales Marketing And Public Relations Professionals	agent|analyst|assistant|buyer|canvasser|consultant|copywriter|developer|director|engineer|manager|marketer|officer|planner|professional|representative|specialist|spokesperson|technician	none	market|office	after_sales|online|presales_channel	equipment_product|hardware_product|industry_product|machinery_product|products_product|textile_product	customer|customers	account|advertising|affairs|client_task|development|employer_task|research|sales|service|services|technical_task	agricultural|campaign_industry|chemical|construction|electronic|energy|hospitality|medical|mining|party_industry|political|public|renewable|revenue_industry|solar	business|communications|ict_knowledge_domain|marketing|media|public_relations|telecommunications	activism_work_object|brand_work_object|ebusiness_work_object|experience_work_object	specific
14802	Software And Applications Developers And Analysts	analyst|architect|auditor|configurator|consultant|designer|developer|engineer|expert|manager|programmer|scientist|specialist|tester	none	centre|office				accessibility|analysis|configuration|control|design|integration|process|quality|quality_assurance|recovery|research|search_engine_task|test|usability	artificial|digital|green|industrial|mobile	business|data_knowledge_domain|disaster_knowledge_domain|ict_knowledge_domain|iot_knowledge_domain|it_knowledge_domain|programming|software_knowledge_domain|system_knowledge_domain|user_experience_knowledge_domain	application_work_object|blockchain_work_object|cloud_identity_work_object|cloud_work_object|computer_work_object|data_work_object|devices_work_object|embedded_work_object|enterprise_work_object|intelligence_work_object|software_work_object|system_work_object|systems_work_object|tool_work_object|user_interface_work_object|web_content_work_object|web_work_object	specific
14808	Database And Network Professionals	administrator|architect|chief|configurator|designer|developer|engineer|expert|hacker|integrator|manager|officer|planner|professional|responder|specialist	none|manager	centre|office|warehouse				cybersecurity_task|design|risk|security|support	digital|ethical|forensics_industry	ict_knowledge_domain	computer_work_object|database_work_object|embedded_work_object|knowledge_work_object|network_work_object|system_work_object|systems_work_object	specific
14814	Legal Professionals	consultant|coordinator|coroner|drafter|judge|lawyer|manager|mediator|notary|observer|officer|ombudsman|professional|prosecutor	none	court|office			human	affairs|protection|right_task	corporate|judicial|legal|regulatory	compliance	jury_work_object|supreme_work_object	specific
14818	Librarians Archivists And Curators	archivist|conservator|curator|librarian|manager|registrar|scientist	none	zoo				services	cultural|visitor_industry	information		specific
14821	Social And Religious Professionals	adviser|analyst|anthropologist|archaeologist|chaplain|consultant|coordinator|counsellor|criminologist|economist|genealogist|geographer|historian|justice|minister|missionary|officer|pedagogue|philosopher|professional|researcher|scientist|sociologist|supervisor|worker	none	hospital			adult|child|youth	alcohol_task|care|development|drug_task|planning|policy|research|support|victim_task|work	clinical|crisis_industry|economic|family_industry|health|mental|migrant_industry|military|political|scientific|social|team_industry|violence_industry|welfare	business|communications|economics|information|media|religion_knowledge_domain|science|tax	benefit_advice_work_object|homelessness_work_object|marriage_work_object|substance_misuse_work_object	specific
14828	Authors Journalists And Linguists	blogger|checker|chief|columnist|communicator|correspondent|critic|dramaturge|editor|graphologist|interpreter|journalist|lawyer|lexicographer|linguist|localiser|lyricist|photojournalist|scholar|speechwriter|subtitler|translator|vlogger|writer	none	office	broadcast			technical_task	medical|political|sports	book_knowledge_domain|business|copy_knowledge_domain|crime_knowledge_domain|foreign|language|magazine_knowledge_domain|media|new_knowledge_domain|newspaper_knowledge_domain|picture_knowledge_domain|sign_language	script_work_object	specific
14832	Creative And Performing Artists	actor|actress|administrator|anchor|animator|arranger|artist|cartoonist|ceramicist|choirmaster|choreographer|choreologist|comedian|composer|conductor|dancer|describer|designer|director|editor|jockey|musician|painter|performer|presenter|printmaker|producer|puppeteer|repetiteur|restorer|sculptor|singer|stand-in|supervisor	none	stage|studio|theatre			tourist	performance|post_task|production|technical_task	educational|photography	art|arts|community_knowledge_domain|glass_knowledge_domain|motion_knowledge_domain|music|musical|picture_knowledge_domain|podcast_knowledge_domain|radio_knowledge_domain|sound_knowledge_domain|storyboard_knowledge_domain|street_knowledge_domain|variety_knowledge_domain|video_knowledge_domain|voice_over_knowledge_domain	stand_work_object	specific
14842	Physical And Engineering Science Technicians	analyst|assessor|assistant|chromatographer|consultant|controller|coordinator|designer|developer|drafter|geotechnician|inspector|manager|officer|operator|supervisor|surveyor|technician|tester	none	airport|lab|laboratory|mine|plant|railway|site				building|design|development|maintenance|manufacturing|printing|process|production|protection|quality|quality_assurance|safety|sampling|test|testing|welding	architectural|automotive|aviation|chemical|civil|construction|electrical|energy|industrial|marine|mechanical|mechatronics|medical|nuclear|physical|renewable|road|transport	aerospace|cad|chemistry|compliance|electronics|engineering|food_knowledge_domain|geology|microelectronics|physics|science|stress_knowledge_domain	3d_work_object|aided_work_object|air_work_object|aircraft_work_object|asphalt_work_object|avionics_work_object|battery_work_object|bridge_work_object|colour_work_object|computer_work_object|device_work_object|engine_work_object|fire_work_object|food_work_object|footwear_product_work_object|footwear_work_object|hardware_work_object|hazardou_waste_work_object|heat_work_object|hydropower_work_object|infrastructure_work_object|landfill_work_object|leather_good_work_object|leather_work_object|materials_work_object|microsystem_work_object|motor_vehicle_work_object|offshore_work_object|photonics_work_object|product_work_object|pump_work_object|rail_work_object|remote_work_object|robotics_work_object|sensor_work_object|sewerage_work_object|soil_work_object|systems_work_object|textile_work_object|utility_work_object|vessel_work_object|water_based_work_object	specific
14852	Mining Manufacturing And Construction Supervisors	carpenter|finisher|general|leader|manager|operator|paperhanger|planner|setter|sewer|supervisor|technician	supervisor	house|mill|mine|plant|railway|site|studio			animal	assembly|installation|maintenance|management|manufacturing|mechanics_task|painting|processing|production	automotive|aviation|chemical|construction|dairy|electrical|industrial|ironwork_industry|mining|road|underwater_industry	electronics	crane_crew_work_object|distillery_work_object|machine_work_object|malt_work_object|power_line_work_object|shift_work_object|water_based_work_object	specific
14856	Process Control Technicians	controller|distributor|manager|operator|supervisor|technician	none	farm|plant|room		power_product		assembly|control|process|processing|production|treatment	chemical|electrical|energy|industrial|nuclear|renewable|robot_industry|solar		air_work_object|automated_work_object|bioga_work_object|fossil_fuel_power_work_object|furnace_work_object|gas_work_object|incinerator_work_object|line_work_object|liquid_waste_work_object|offshore_work_object|oil_refinery_work_object|onshore_wind_work_object|petroleum_work_object|power_work_object|pulp_work_object|pump_work_object|reactor_work_object|refinery_shift_work_object|solid_waste_work_object|steam_turbine_work_object|system_work_object|systems_work_object|wastewater_work_object|water_based_work_object	specific
14863	Life Science Technicians And Related Associate Professionals	adviser|supervisor|technician	none	farm|laboratory|site			animals	quality|test	agricultural|agriculture|aquaculture|forestry|scientific	biology	biochemistry_work_object|viticulture_work_object	specific
14867	Ship And Aircraft Controllers And Technicians	assistant|astronaut|captain|chief|controller|engineer|helmsman|inspector|instructor|officer|pilot|skipper|specialist|technician	none	airport|port			passengers	control|maintenance|safety|service	airline_industry|aviation|commercial|fisheries|marine|private|transport	engineering|flight_knowledge_domain|information	aircraft_work_object|airspace_work_object|co_work_object|deck_work_object|drone_work_object|duty_work_object|helicopter_work_object|second_work_object|ship_work_object	specific
14874	Medical And Pharmaceutical Technicians	assistant|orthotist|prosthetist|scientist|technician|therapist	none	clinic|hospital|laboratory			patient	test	clinical|medical|pharmaceutical			specific
14879	Nursing And Midwifery Associate Professionals	worker	assistant|none	clinic|hospital			infant|patient	care|maternity_task|support	healthcare	nursing		specific
14882	Traditional And Complementary Medicine Associate Professionals	therapist	none	clinic			patient	support		medicine		specific
14884	Veterinary Technicians And Assistants	assistant|nurse|technician|therapist	assistant|none	clinic|facility|farm			animal|equine	transfer	artificial|health|veterinary		embryo_work_object	specific
14886	Other Health Associate Professionals	administrator|adviser|assistant|clerk|coder|coordinator|doctor|driver|inspector|instructor|manager|optician|paramedic|practitioner|psychologist|screener|sophrologist|technician|tester|therapist|worker	assistant|none	clinic|hospital|office			patient	archiving|care|list_task|safety|support|test	anaesthetic|chairside_industry|clinical|emergency_industry|environmental|health|healthcare|industrial|medical|occupational|regulatory|transport	communications|first_aid_knowledge_domain|psychology	covid_work_object|emergency_ambulance_work_object|food_work_object|hazardou_waste_work_object|massage_work_object|materials_work_object|physiotherapy_work_object|picture_work_object|shiatsu_work_object|systems_work_object|therapy_work_object|waste_work_object	residual_when_no_specific_family
14897	Financial And Mathematical Associate Professionals	adjuster|administrator|adviser|analyst|appraiser|assistant|bookkeeper|broker|coordinator|gemmologist|handler|investigator|manager|officer|specialist|surveyor|trader|underwriter	none	office		exchange_product|future_product|stock_product	student	account|risk|support	actuarial|bank|banking|claim_industry|energy|estate_industry|finance_industry|financial|fraud_industry|fund_industry|insurance	accounting|credit_knowledge_domain|foreclosure_knowledge_domain|foreign|securities|statistics	asset_work_object|grant_work_object|loan_work_object|mortgage_loan_work_object|mortgage_work_object	specific
14903	Sales And Purchasing Agents And Brokers	agent|broker|buyer|carrier|consultant|merchandiser|merchant|planner|purchaser|representative|shipbroker|trader|underwriter	none	market|office|plant	wholesale	aircraft_product|beverages_product|china_product|clothing_product|coffee_product|coffee_tea_cocoa_product|commodity_product|computer_product|cosmetics_product|costume_product|edible_oil_product|electricity_product|equipment_product|fish_crustacean_product|flowers_product|food_product|footwear_product|fruit_product|furniture_carpet_product|furniture_product|glassware_product|goods_product|hardware_product|hide_skin_product|household_appliance_product|household_good_product|jewellery_product|leather_product_product|lighting_product|machine_tool_product|machinery_product|materials_product|meat_product|meat_product_product|part_product|perfume_product|pharmaceutical_product|products_product|raw_product|scrap_product|ships_product|software_product|standalone_product|sugar_chocolate_product|sugar_confectionery_product|supply_product|textile_industry_machinery_product|textile_semi_finished_product|textiles_product|timber_product|tobacco_product_product|vegetable_product|waste_product|wood_product	animal|animals|customers	non_vessel_task|risk|sales|set	agricultural|agriculture|chemical|civil|commercial|construction|dairy|electrical|electronic|energy|green|insurance|mining|public|renewable	engineering|ict_knowledge_domain|telecommunications|textile_knowledge_domain	purchase_work_object	specific
14908	Business Services Agents	agent|assistant|auctioneer|closer|consultant|coordinator|director|investor|manager|negotiator|officer|planner|programmer|promoter|specialist	none	office|plant			animal|animals	advertising|export|import|operations|right_task|sales|services|talent_task	agricultural|agriculture|chemical|civil|construction|dairy|electrical|electronic|estate_industry|event|industrial|logistics|mining|pharmaceutical	aircraft_knowledge_domain|business|china_knowledge_domain|coffee_tea_cocoa_knowledge_domain|cosmetics_knowledge_domain|edible_oil_knowledge_domain|engineering|fish_crustacean_knowledge_domain|food_knowledge_domain|footwear_knowledge_domain|fruit_knowledge_domain|furniture_carpet_knowledge_domain|furniture_knowledge_domain|hardware_knowledge_domain|hide_skin_knowledge_domain|household_appliance_knowledge_domain|household_good_knowledge_domain|jewellery_knowledge_domain|leather_product_knowledge_domain|machine_tool_knowledge_domain|machinery_knowledge_domain|meat_knowledge_domain|meat_product_knowledge_domain|other_glassware_knowledge_domain|perfume_knowledge_domain|property_knowledge_domain|raw_knowledge_domain|scrap_knowledge_domain|software_knowledge_domain|sugar_chocolate_knowledge_domain|sugar_confectionery_knowledge_domain|telecommunications|textile_industry_machinery_knowledge_domain|textile_semi_finished_knowledge_domain|tobacco_product_knowledge_domain|tourism_knowledge_domain|vegetable_knowledge_domain|venue_knowledge_domain|waste_knowledge_domain|wood_knowledge_domain	custom_work_object|excise_work_object	specific
14919	Regulatory Government Associate Professionals	administrator|adviser|detective|hand|inspector|investigator|observer|officer	none	office|passport_venue|site				security	agricultural|fisheries|forestry|government|marine|social	compliance|tax	cargo_work_object|consumer_right_work_object|custom_work_object|freight_work_object|measure_work_object|police_work_object|weight_work_object	specific
14927	Legal Social And Religious Associate Professionals	administrator|assistant|bailiff|clerk|coach|detective|guardian|justice|mentor|monk|nun|officer|operator|worker	none	court|home			adult|child|people	administrative|care|childcare_task|disability_task|foster_task|support|work	educational|family_industry|health|legal|mental|older_industry|private|social|store_industry|welfare|young_industry	life_knowledge_domain	case_work_object|conveyance_work_object|crisis_helpline_work_object|peace_work_object|volunteer_work_object	specific
14931	Sports And Fitness Workers	animator|assistant|athlete|attendant|coach|coordinator|guide|instructor|leader|official|teacher|therapist|trainer|worker	none	facility			children		specialised|sports	fitness_knowledge_domain|football_knowledge_domain|golf_knowledge_domain|horse_knowledge_domain|ice_knowledge_domain|lifeguard_knowledge_domain|outdoor_activity_knowledge_domain|outdoor_knowledge_domain|pilate_knowledge_domain|ski_knowledge_domain|snowboard_knowledge_domain|tenni_knowledge_domain	activity_work_object|leisure_work_object|mountain_work_object	specific
14935	Artistic Cultural And Culinary Associate Professionals	artist|assistant|attendant|builder|designer|director|dresser|engineer|extra|handler|head|librarian|machinist|maker|manager|master|merchandiser|operator|painter|performer|photographer|planner|prompter|pyrotechnician|stand-in|supervisor|taxidermist|technician	none	bar|kitchen|stage|studio|theatre|workshop_venue				integration|miniature_task|performance|production|programme|set|support	big_data_industry|interior	art|arts|body_knowledge_domain|fight_knowledge_domain|media|motion_knowledge_domain|picture_knowledge_domain|video_knowledge_domain|visual	asset_work_object|audio_work_object|automated_fly_work_object|followspot_work_object|intelligent_work_object|light_board_work_object|mask_work_object|prop_mistress_work_object|prop_work_object|scenery_work_object|script_work_object|stand_work_object	specific
14942	Information And Communications Technology Operations And User Support Technicians	agent|manager|operator|technician|webmaster	none	centre|office	help_desk		customers	security|support	aviation|transport	communications|ict_knowledge_domain	data_work_object|network_work_object	specific
14947	Telecommunications And Broadcasting Technicians	designer|editor|engineer|operator|projectionist|technician	none	site|studio	broadcast			performance|rental		engineering|media|sound_knowledge_domain|telecommunications|visual	audio_work_object|boom_work_object|camera_work_object|sound_work_object|video_work_object	specific
14952	General Office Clerks	administrator|clerk	none	office			customers				membership_work_object	specific
14954	Secretaries General	secretary	none	office				support				specific
14956	Keyboard Operators	clerk|operator|typist	none	office				entry				specific
14960	Tellers Money Collectors And Related Clerks	bookmaker|boss|caller|cashier|clerk|collector|compiler|dealer|manager|operator|pawnbroker|teller	none	office			customers	casino_task|post_task	bank|banking|insurance		counter_work_object|debt_work_object|lottery_work_object|race_track_work_object	specific
14965	Client Information Workers	agent|auditor|clerk|concierge|consultant|dispatcher|enumerator|host|hostess|interviewer|officer|operative|operator|organiser|receptionist|representative|steward|stewardess	none	centre|clinic|hotel|market|office|railway|reception	call_centre|telephone		customer|passenger|patient|tourist	client_task|research|sales|service|support|ticket_task	emergency_industry|front_line_industry|hospitality|medical|transport|veterinary	communications|information|travel	chat_work_object|night_work_object|switchboard_work_object|tour_work_object	specific
14975	Numerical Clerks	administrator|assistant|cashier|clerk|specialist	none	market|office			customers	account|auditing|process|sales|support	financial|insurance|investment	accounting|back_knowledge_domain|foreign|tax	back_work_object|payroll_work_object	specific
14979	Material Recording And Transport Clerks	adviser|clerk|controller|coordinator|dispatcher|manager|operator|pilot|planner|representative|scheduler|specialist|supervisor	none	airport|factory|office|port|reception|warehouse		gas_product	passengers	aircraft_cargo_task|assembly|baggage_task|dangerou_good_task|flow|maintenance|operations|safety	aviation|logistics|road|transport	raw_knowledge_domain	bridge_work_object|bus_route_work_object|footwear_work_object|gas_work_object|leather_good_work_object|materials_work_object|move_work_object|pipeline_route_work_object|raw_work_object|system_work_object|taxi_work_object|tram_work_object	specific
14984	Other Clerical Support Workers	assistant|clerk|postman|proofreader|worker	assistant|none	office			customers	advertising|correspondence|support		foreign_language|human_resources	file_work_object|mail_work_object	residual_when_no_specific_family
14914	Administrative And Specialised Secretaries	administrator|analyst|assistant|auditor|coordinator|executive|manager|officer|registrar|reporter|scopist|secretary|supervisor|transcriptionist	none|supervisor	centre|court|office	call_centre		customers|student	administrative|entry|management|project|quality|support|work	civil|legal|medical|practice_industry|transport		field_survey_work_object|supply_chain_work_object	specific
14994	Travel Attendants Conductors And Guides	agent|attendant|chief|conductor|controller|educator|guide|manager|officer|steward|stewardess	none|supervisor	park|railway|zoo			passenger|tourist	service	aviation|environmental|transport	tourism_knowledge_domain|travel	fare_work_object|train_work_object	specific
14998	Cooks	chef|cook|head	none|supervisor	kitchen|restaurant			customers		industrial|private		diet_work_object|grill_work_object|pastry_work_object	specific
15000	Waiters And Bartenders	barista|bartender|head|host|hostess|sommelier|waiter|waitress	none|supervisor	bar|restaurant			customer|guest		hospitality		beer_work_object|wine_work_object	specific
15003	Hairdressers Beauticians And Related Workers	aesthetician|artist|assistant|attendant|barber|consultant|designer|hairdresser|manicurist|masseur|pedicurist|stylist|technician	assistant|none	salon|studio				performance	beauty	make_up_knowledge_domain|weight_loss_knowledge_domain	hair_work_object|spa_work_object	specific
