role_head,alias,note
driver,şofer,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dyer,vopsitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
embalmer,îmbălsămător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
embroiderer,brodeuză,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
engineer,inginer,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
engraver,gravor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
entrepreneur,antreprenor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
escort,escorta,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
examiner,examinator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
executive,executiv,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
extra,suplimentar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
farmer,agricultor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
fermenter,fermentator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
filler,umplutură,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
finisher,finisator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
firefighter,pompier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
firer,focarul,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
forecaster,prognozator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
forester,pădurar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
geologist,geolog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
glazier,geamgiu,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
goldsmith,aurar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
governor,guvernator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
grader,gradator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
grinder,polizor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
groom,mire,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
groom,îngrijitor de cai,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
groundsman,pamant,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
guard,paznic,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
guide,ghid,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
gunsmith,armurier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hand,mână,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
handler,manipulator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
handyperson,om de treabă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hawker,vânzător ambulant,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
head,cap,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
headteacher,director,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
helmsman,cârmaci,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
historian,istoric,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
homeopath,homeopat,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
housekeeper,menajeră,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hunter,vânător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
installer,instalator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
interpreter,interpret,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
investigator,anchetator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
investor,investitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ironer,călcător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
jockey,jocheu,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
jointer,articulator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
judge,judecător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
justice,justiţie,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
keeper,păstrător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
layer,strat,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
lieutenant,locotenent,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
locksmith,lăcătuș,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
machinist,mașinist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
maintainer,întreținător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
maker,făcător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
marshaller,mareșal,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
masseur,maseur,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
master,maestru,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mechanic,mecanic,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
medium,mediu,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
member,membru,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
merchant,comerciant,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
metallurgist,metalurgist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
midwife,moaşă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
midwife,moașă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
milliner,pălărier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
minister,ministru,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
missionary,misionar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
monk,călugăr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
mounter,montator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nanny,bona,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nanny,dădacă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
negotiator,negociator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
neutraliser,neutralizator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
notary,notar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nun,călugăriță,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
nurse,asistent medical,Manual review: Romanian phrase role-head alias; unsafe as a global alias because English medical assistant is not nurse.
officer,ofițer,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
official,oficial,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
organiser,organizator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
orthotist,ortezist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
osteopath,osteopat,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
packer,ambalator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
paperhanger,cuier de hârtie,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
papermaker,hârtier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
papermaker,producator de hartie,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
patternmaker,șablonist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pawnbroker,zălogar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pedagogue,pedagog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pedicure,pedichiură,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pelletiser,peletizator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
performer,interpret,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
person,persoană,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
physiotherapist,kinetoterapeut,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
planer,rindeaua,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
polisher,lustruitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
postman,poştaş,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
preparer,preparator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
presser,presator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
producer,producător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
professional,profesional,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
projectionist,proiecționist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
prosthetist,protezist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
psychic,clarvăzător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
psychic,psihic,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
publisher,editor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
puppeteer,păpușar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
pusher,împingător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
reader,cititor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
repetiteur,repetitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
reproducer,reproducator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
responder,răspuns,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roaster,prăjitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roofer,acoperișar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roughneck,aspru,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roughneck,muncitor de sondă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
roustabout,muncitor auxiliar de sondă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
rustproofer,antirugină,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sailor,marinar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sander,șlefuitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scaffolder,schela,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scheduler,programator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scholar,cercetător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
scholar,savant,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
seaman,marinar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
seismologist,seismolog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sergeant,sergent,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sewer,canalizare,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shepherd,păstor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shipbroker,broker naval,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shipwright,constructor de nave,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shoemaker,cizmar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shopper,cumpărător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
shotfirer,împușcător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
signalperson,persoana de semnalizare,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
silversmith,argintar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
singer,cântăreaţă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
singer,cântăreț,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sitter,sezator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
skipper,căpitanul,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
slaughterer,măcelător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sociologist,sociolog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
solderer,lipit,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
soldier,soldat,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sophrologist,sofrolog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sorter,sortator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
speechwriter,scriitor de discursuri,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
spinner,filator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
splitter,despicator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
spokesperson,purtător de cuvânt,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sprayer,pulverizator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stagehand,scenist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stagehand,tehnician de scenă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stevedore,docher,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stewardess,stewardesă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stitcher,cusator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stonemason,pietrar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stonemason,zidar de piatră,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
stylist,stilist,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
subtitler,subtitrator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
surgeon,chirurg,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sweep,mătura,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
sweeper,măturătoare,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
switchperson,comutator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tailor,croitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tanner,tăbăcar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
taster,degustător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
teller,povestitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tier,nivel,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
toxicologist,toxicolog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
toymaker,producător de jucării,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
transcriptionist,transcriptor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
transporter,transportor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
treasurer,trezorier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
treater,tratator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
trustee,mandatar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
turner,strungar,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
tutor,tutore,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
typesetter,compozitor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
typesetter,culegător,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
typist,dactilograf,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
upholsterer,tapițer,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
usher,introduce,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
usher,ușier,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
valuer,evaluator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
vulcaniser,vulcanizator,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
waitress,chelneriţă,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
