role_head,alias,note
astronaut,űrhajós,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
astronomer,csillagász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
athlete,sportoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
attendant,kísérő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
auctioneer,árverésvezető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
audiologist,audiológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
auditor,könyvvizsgáló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
babysitter,bébiszitter,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bailiff,végrehajtó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
baker,pék,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
banker,bankár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
barber,borbély,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
basketmaker,kosárfonó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
behaviourist,viselkedéskutató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
beveller,ferdítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
biochemist,biokémikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bioengineer,biomérnök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
biologist,biológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
biophysicist,biofüüsik,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
biotechnologist,biotechnológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bleacher,fehérítőtartály,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
blender,keverőgép,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
blower,ventilátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boatman,hajós,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boatswain,fedélzetmester,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bodyguard,testőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boilermaker,kazánkovács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
accountant,könyvelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boss,főnök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
boss,ülemus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
brazier,rézműves,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
breeder,tenyésztő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bricklayer,kőműves,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
bricklayer,müürsepp,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
brigadier,brigádvezető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
broker,bróker,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
builder,építész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
builder,építő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
burner,égő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
butler,ülemteener,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
buyer,vevő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
caller,hívó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
canner,konzervgyáros,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
canner,konzerváló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
canvasser,kampaaniatöötaja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
canvasser,kampányoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
canvasser,kortes,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
capitalist,kapitalista,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
captain,kapitány,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
carpenter,ács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
carrier,hordozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cartographer,térképész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cashier,pénztáros,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
caster,görgő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
catcher,püüdja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
caulker,duggató munkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
caulker,tömítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chaplain,káplán,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chaplain,tábori lelkész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
checker,ellenőrző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chef,főszakács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chemist,vegyész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chief,fő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chipper,forgácsoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chiropractor,csontkovács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chiropractor,hátgerincmasszázzsal gyógyító,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
chocolatier,csokoládékészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
choirmaster,kántor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
choreographer,koreográfus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
choreologist,mozgáselemző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
clarifier,derítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cleaner,takarító,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
clerk,hivatalnok,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
climatologist,klimatológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
closer,közelebb,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coach,edző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coachbuilder,karosszérialakatos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coder,kódoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
collector,gyűjtő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
colonel,ezredes,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
colourist,színező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
columnist,rovatvezető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
comedian,komikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
commander,komandör,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
commander,parancsnok,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
commissioner,biztos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
communicator,kommunikátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
companion,társ,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
compiler,fordítóprogram,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
compiler,összeállító,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
composer,zeneszerző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
concierge,portás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
conductor,karmester,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
confectioner,cukrász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
configurator,konfiguráló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
configurator,konfigurátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
consul,konzul,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
consultant,tanácsadó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
contractor,töövõtja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
contractor,vállalkozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
controller,vezérlő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cook,szakács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cooper,kádár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cooper,tünnimeister,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coordinator,koordinátora,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coppersmith,rézműves,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
copywriter,szövegíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coroner,halottkém,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
corporal,tizedes,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
correspondent,levelező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
correspondent,tudósító,Manual migration 2026-09-13: preserved reviewed global role-head alias after locale split.
cosmologist,kozmológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
councillor,tanácsos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
counsellor,tanácsadó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
courier,futár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
coverer,takaró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
criminologist,kriminológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
critic,kritikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
curator,kurátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cytotechnologist,citotechnológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
cytotechnologist,tsütotehnoloog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dancer,táncos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dean,dékán,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
deckhand,fedélzeti matróz,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
demographer,demográfus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
derrickhand,fúrótorony-kezelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
derrickhand,puurtorni töötaja,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
detective,detektív,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
developer,fejlesztő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
digger,kubikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
diplomat,diplomata,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
director,igazgató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dispatcher,diszpécser,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
distiller,lepárló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
distiller,párlatkészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
distributor,elosztó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
distributor,forgalmazó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
diver,búvár,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
doorman,portás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
drafter,fogalmazó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
drafter,rajzoló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dramaturge,dramaturg,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dresser,komód,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dresser,öltöztető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dressmaker,ruhakészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
driver,sofőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
dyer,kelmefestő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ecologist,ökoloog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ecologist,ökológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
economist,közgazdász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
editor,szerkesztő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
educator,pedagógus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
electrician,villanyszerelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
embalmer,balzsamozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
embroiderer,hímző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
enameller,zománcozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
engineer,mérnök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
engraver,gravírozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
engraver,vésnök,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
entrepreneur,vállalkozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
enumerator,számláló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
enumerator,összeíró,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ergonomist,ergonomikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ergonomist,ergonómus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
escort,kíséret,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
estimator,becslő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
examiner,vizsgáztató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
executive,végrehajtó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
expert,szakértő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
extra,külön-,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
extractor,elszívó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
farmer,gazda,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
farmer,gazdálkodó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
farrier,patkolókovács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
fermenter,fermentor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
fermenter,fermentáló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
filler,töltő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
filler,töltőanyag,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
finisher,befejező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
firefighter,tűzoltó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
firer,tűzgyújtó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
fitter,szerelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
forecaster,előrejelző,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
forester,erdész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
gemmologist,drágakőszakértő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
genealogist,genealógus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
general,tábornok,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
general,általános,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
geochemist,geokémikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
geographer,geográfus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
geologist,geológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
geophysicist,geofüüsik,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
glazier,üveges,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
glazier,üvegező,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
goldsmith,aranyműves,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
governor,kormányzó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
grader,földgyalu,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
grader,osztályozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
graphologist,grafológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
greaser,zsírozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
grinder,őrlőgép,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
groom,lovász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
groom,vőlegény,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
groundsman,pályamester,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
guard,őr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
guardian,gyám,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
guide,idegenvezető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
guide,útmutató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
gunsmith,fegyverkovács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
gunsmith,fegyverműves,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hairdresser,fodrász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hand,käsitööline,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hand,kéz,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hand,kézi munkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
handler,kezelő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
handyperson,ezermester,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hawker,házaló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
head,fej,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
helmsman,kormányos,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
helmsman,tüürimees,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
historian,történész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
homeopath,homeopata,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
homeopath,homöopaat,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
host,házigazda,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hostess,háziasszony,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
housekeeper,házvezetőnő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hunter,kütt,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hunter,vadász,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hydrogeologist,hidrogeológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hydrogeologist,hüdrogeoloog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hydrologist,hidrológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hydrologist,hüdroloog,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hydrotherapist,hüdroterapeut,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hygienist,higiénikus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
hygienist,hügieenik,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
illustrator,illusztrátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
immunologist,immunológus,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
inspector,ellenőr,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
installer,telepítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
instructor,oktató,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
integrator,integrátor,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
interpreter,tolmács,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
interviewer,interjúkészítő,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
investigator,nyomozó,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
investor,befektető,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ironer,vasaló,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
ironworker,vasmunkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
jeweller,ékszerész,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
jockey,zsoké,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
jointer,összerakó munkás,Google Translate locale migration 2026-09-13: generated role-head alias; review before relying on ambiguous occupations.
